Date,Xmin,Ymin,Xmax,Ymax
2021-11-30,81.81818181818186,300.7160647571609,87.16577540106955,458.5616438356169
2021-12-01,88.50267379679148,373.5678704856791,93.85026737967918,426.1830635118308
2021-12-02,95.1871657754011,325.00000000000045,100.5347593582888,446.4196762141969
2021-12-03,101.87165775401073,235.95890410958918,107.21925133689842,341.18929016189304
2021-12-06,108.55614973262036,223.81693648816963,113.90374331550805,288.57409713574134
2021-12-07,115.24064171122998,191.438356164384,120.58823529411768,248.1008717310092
2021-12-08,121.92513368983961,183.34371108343748,127.27272727272731,211.67496886675008
2021-12-09,128.60962566844924,183.34371108343748,133.95721925133694,219.7696139476966
2021-12-10,135.29411764705887,159.05977584059792,140.64171122994657,235.95890410958918
2021-12-13,141.97860962566847,142.87048567870534,147.32620320855617,191.438356164384
2021-12-14,148.6631016042781,146.91780821917837,154.0106951871658,179.296388542964
2021-12-15,155.34759358288773,142.87048567870534,160.69518716577542,187.39103362391052
2021-12-16,162.03208556149735,150.9651307596514,167.37967914438505,191.438356164384
2021-12-17,168.71657754010698,122.63387297633881,174.06417112299468,187.39103362391052
2021-12-20,175.4010695187166,126.6811955168123,180.7486631016043,183.34371108343748
2021-12-21,182.08556149732624,159.05977584059792,187.43315508021394,191.438356164384
2021-12-22,188.77005347593587,163.1070983810714,194.11764705882356,211.67496886675008
2021-12-23,195.4545454545455,167.15442092154444,200.8021390374332,199.53300124533007
2021-12-24,202.13903743315512,171.20174346201793,207.48663101604282,199.53300124533007
2021-12-27,208.82352941176478,175.24906600249096,214.17112299465248,195.48567870485704
2021-12-28,215.50802139037438,150.9651307596514,220.85561497326208,195.48567870485704
2021-12-29,222.192513368984,183.34371108343748,227.5401069518717,235.95890410958918
2021-12-30,228.87700534759364,211.67496886675008,234.22459893048133,264.2901618929018
2022-01-03,235.56149732620327,227.86425902864266,240.90909090909096,288.57409713574134
2022-01-04,242.2459893048129,231.91158156911615,247.5935828877006,256.19551681195526
2022-01-05,248.93048128342252,227.86425902864266,254.27807486631022,288.57409713574134
2022-01-06,255.61497326203215,272.3848069738483,260.9625668449199,325.00000000000045
2022-01-07,262.2994652406418,244.0535491905357,267.6470588235295,312.85803237858045
2022-01-10,268.9839572192514,260.24283935242875,274.33155080213913,300.7160647571609
2022-01-11,275.66844919786104,272.3848069738483,281.01604278074876,312.85803237858045
2022-01-12,282.35294117647067,219.7696139476966,287.7005347593584,296.66874221668786
2022-01-13,289.0374331550803,219.7696139476966,294.38502673796796,248.1008717310092
2022-01-14,295.7219251336899,223.81693648816963,301.0695187165776,292.6214196762144
2022-01-17,302.40641711229955,268.33748443337527,307.7540106951872,320.95267745952697
2022-01-18,309.0909090909092,276.4321295143218,314.43850267379685,320.95267745952697
2022-01-19,315.7754010695188,280.4794520547948,321.1229946524065,353.33125778331305
